,Unnamed: 0,Name,City,CuisineStyle,Ranking,Rating,PriceRange,NumberofReviews,Reviews,URL_TA,ID_TA,lat,lng
155,155,Villa Maria Restaurant-Amsterdam,Amsterdam,"['Steakhouse', 'Latin', 'Barbecue', 'European', 'Argentinean', 'South American', 'Vegetarian Friendly']",156,4.5,$$ - $$$,482,"[['Perfect foods', 'Everything is hillarious!'], ['01/05/2018', '01/05/2018']]",/Restaurant_Review-g188590-d4588301-Reviews-Villa_Maria_Restaurant_Amsterdam-Amsterdam_North_Holland_Province.html,d4588301,40.78585,-73.97635
156,156,Restaurant Choux,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",157,4.5,$$ - $$$,221,"[['Nice little find, but book', 'Fantastic'], ['12/29/2017', '11/20/2017']]",/Restaurant_Review-g188590-d8308612-Reviews-Restaurant_Choux-Amsterdam_North_Holland_Province.html,d8308612,52.37769,4.90721
157,157,The White Room,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options']",158,4.5,$$$$,103,"[['Absolutely stunning place', 'Unique experience in all possible ways'], ['01/07/2018', '12/24/2017']]",/Restaurant_Review-g188590-d10452503-Reviews-The_White_Room-Amsterdam_North_Holland_Province.html,d10452503,52.37277,4.89428
158,158,Kaagman en Kortekaas,Amsterdam,"['Dutch', 'Seafood', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",159,4.5,$$$$,147,"[['Unigue', 'Fantastic food'], ['12/18/2017', '11/07/2017']]",/Restaurant_Review-g188590-d8724251-Reviews-Kaagman_en_Kortekaas-Amsterdam_North_Holland_Province.html,d8724251,52.37485,4.89236
159,159,Bird Thai Restaurant,Amsterdam,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",160,4,$$ - $$$,1641,"[['Great Thai Food', 'Delicious'], ['12/12/2017', '12/07/2017']]",/Restaurant_Review-g188590-d697021-Reviews-Bird_Thai_Restaurant-Amsterdam_North_Holland_Province.html,d697021,40.79494,-73.96972
160,160,Pressroom,Amsterdam,"['French', 'Dutch', 'International', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",161,4.5,$$ - $$$,175,"[['Good food in a relaxed setting', 'Great Find - cool bar'], ['01/09/2018', '01/01/2018']]",/Restaurant_Review-g188590-d8669652-Reviews-Pressroom-Amsterdam_North_Holland_Province.html,d8669652,52.34099,4.88997
161,161,Cafe Sonneveld,Amsterdam,"['Dutch', 'Bar', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",162,4,$$ - $$$,544,"[['So pleased we did.....', 'Pleasent spot off the beaten path'], ['10/02/2017', '09/28/2017']]",/Restaurant_Review-g188590-d3292685-Reviews-Cafe_Sonneveld-Amsterdam_North_Holland_Province.html,d3292685,52.37627,4.88228
162,162,Cafe T Smalle,Amsterdam,"['Dutch', 'Bar', 'Cafe', 'European', 'Pub', 'Vegetarian Friendly']",163,4.5,$$ - $$$,435,"[['Visited again after 4 years and will come...', 'The best of a beer cafe in A’dam'], ['01/04/2018', '01/04/2018']]",/Restaurant_Review-g188590-d2659631-Reviews-Cafe_T_Smalle-Amsterdam_North_Holland_Province.html,d2659631,52.3693,4.94053
163,163,Sir Hummus,Amsterdam,"['Healthy', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",164,5,$,126,"[['Great service, great food!', 'Amazing Hummus!'], ['11/24/2017', '11/19/2017']]",/Restaurant_Review-g188590-d7607446-Reviews-Sir_Hummus-Amsterdam_North_Holland_Province.html,d7607446,52.35179,4.89456
164,164,Restaurant d'Vijff Vlieghen,Amsterdam,"['Dutch', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",165,4,$$$$,1340,"[['Brilliant fish, but make sure you can affo...', 'WELL WORTH A VISIT'], ['12/09/2017', '11/16/2017']]",/Restaurant_Review-g188590-d696910-Reviews-Restaurant_d_Vijff_Vlieghen-Amsterdam_North_Holland_Province.html,d696910,52.36963,4.88888
